user_id	user_name	follower	following	tweet	date
ElectronNest	NaN	125	34	“Statistics &gt; Machine Learning To prune, or not to prune: exploring the efficacy of pruning for model compression” https://t.co/VMPMMKQm7g 式(1)が分からん。第一項がs_{t}でないとつじつまが合わない気がするけどどうなんじゃろ？	2019-07-09 11:42:36
sei_shinagawa	Seitaro Shinagawa	1644	1809	What's to know? Uncertainty as a Guide to Asking Goal-oriented Questions (CVPR2019) Ehsan Abbasnejad, Qi Wu, Javen Shi, Anton van den Hengel https://t.co/J9BrrZvi5a これ良さそう	2019-07-09 11:18:04
sei_shinagawa	Seitaro Shinagawa	1644	1809	Unsupervised Image Captioning (CVPR2019) https://t.co/owGOtKN67U image--textのcycle系crazy論文じゃん。読むか	2019-07-09 11:00:01
NIIIDR	NII IDR	266	57	「楽天データセット」に新規データを追加しました。https://t.co/AYbHL7BAWl 今回はRakuten Franceに掲載の書籍情報と，その一部に正規化した著者名表記を付加したデータです。「Who wrote this book? A challenge for e-commerce」の論文で使用されているものです。 https://t.co/88lUWahQXB	2019-07-09 10:49:26
L_H_Sullivan	ふー🐯じん🐳	368	320	Pseudo-Spin Versus Magnetic Dipole Moment Ordering in the Isosceles Triangular Lattice Material K3Er(VO4)2 https://t.co/NNKjF7eMRc 薄い結晶	2019-07-09 09:51:51
yoshikoba113	小林良彦（原子核物理・科学コミュニケーション）	104	25	今日（7月9日）はジョン・ホイーラー博士（1911～2008）が生まれた日。一般相対性理論や量子重力理論の研究で多くの功績を残した物理学者。ニールス・ボーア博士と核分裂の研究も行った。画像は https://t.co/ANpI6MbIL1 より。こちら（https://t.co/o9zDwsNVek）はキップ・ソーン博士による回想録。 https://t.co/EdCVqax0Ed	2019-07-09 09:36:21
shunk031	しゅんけー	1706	668	特許データ分析やってたからこういう論文は夢があって良いなぁと思う / Patent Claim Generation by Fine-Tuning OpenAI GPT-2. (arXiv:1907.02052v1 [https://t.co/w0CRTvevrb])  https://t.co/qrqdWY3YGz	2019-07-09 08:47:34
icoxfog417	piqcy	8906	127	画像の一部をDropするCutoutと、画像を合成するMixupを複合させて、Dropさせた箇所に別サンプルの画像をはめ込むCutMixという手法を提案。Cutoutは重要な特徴を落としてしまう可能性がある、Mixupは合成画像が不自然になるという双方の課題を克服し、双方を上回る精度を達成  https://t.co/BNqZPG3tS4	2019-07-09 08:26:30
GenerateTaiyaki	taiyaki	14	0	BigBiGAN https://t.co/AaqGCYFuwN BigGANと教師なし表現学習手法であるBiGANの組合せ.識別器には画像or潜在変数単独でのスコアを追加することで学習が安定化.教師なし表現学習やImageNetの条件なし生成でsota.強い生成モデルは表現学習に有用である上,良い特徴抽出モデルは生成器の性能を向上させる. https://t.co/6VDXqYM2Lf	2019-07-09 03:19:37
i4mwh4ti4m	たつお	312	489	一応当該論文投げとく https://t.co/oPnhDjwgy4	2019-07-09 02:58:00
