user_id	user_name	follower	following	tweet	date
hhhhhhaaaaaa2	h.a.	339	524	Dirac magnons in a honeycomb lattice quantum XY magnet CoTiO3 https://t.co/DXLcOaTGZf Dirac magnonなんてのがあるんか	2019-07-05 14:02:09
udoooom	うどん	1871	1938	Long-Term Feature Banks，今更知ったが発想シンプルで時間特徴をうまい感じに使ってるの凄いなと今更思った  https://t.co/GA7OxgDxmF	2019-07-05 12:25:11
Vengineer	ソースコード解析職人	1664	80	論文は、これみたい。 「Deep Learning Inference in Facebook Data Centers: Characterization, Performance Optimizations and Hardware Implications」 https://t.co/GLpQDxD0Jo https://t.co/gPHmPPWEzW	2019-07-05 11:32:39
masashiotani	マサシ	91	92	落とされたが、とりあえずarxivには出した。 https://t.co/drG5Ce7QoZ	2019-07-05 10:55:59
yu4u	Yusuke Uchida	4447	950	攻めてる / “[1907.02124] Non-structured DNN Weight Pruning Considered Harmful” https://t.co/llPs9QQClG	2019-07-05 10:24:14
hillbig	Daisuke Okanohara	15910	254	様々な形状の点群の生成モデルとしてPointFlowを提案。形状を表す潜在変数を生成し、それから連続正規化フローのダイナミクスを作り、それに基づき事前分布の点群を目的の形状に変化させる。変分法を使った最尤推定で直接学習可能 https://t.co/VxHqZ7zKL7 https://t.co/KffYbQsKPf	2019-07-05 10:02:26
hackernewsj	Hacker News記事題日本語翻訳	605	4	GraphQLへの移行：実用的評価 https://t.co/nrwQkSPqTz	2019-07-05 07:18:33
MasakiTaniguch4	Masaki Taniguchi	20	16	https://t.co/G3dBMgwAHD のCor Dが以前考えたことに似ている… Gromovノルムを使うとは…	2019-07-05 04:47:30
mocobt	mocobt🐈	225	454	なんかHMMってぐらふっぽいしGNNと組み合わせた方法とかあるのかなと調べてみたら，先月発表された手法があった． やっぱ温故知新というか，昔の理論って大事な感じある．  [Qu et al. arXiv 2019] https://t.co/e5BX1rYl9x	2019-07-05 02:38:38
pacifinapacific	ぱしふぃん	266	543	https://t.co/MCFPySL4fO Person Re-identificationでGeneratorによる画像生成と識別を同一ネットワークで扱う仕組みを提案。生成された画像を効果的に用いることで精度向上に寄与(CVPR 2019 oral)	2019-07-05 01:11:31
TomiyaAkio	3刷出ます「ディープラーニングと物理学」 A.Tomiya	1262	504	@astrophys_tan えぇ、それですね https://t.co/FMIPxvKSst  色々と文献読んでて、引いてない奴も多いんですが、説明を聞いた中ではそれが分かり良かった気がします。	2019-07-05 00:21:54
hsntdo	Hoshino Tadao	286	100	やっぱり既にあるようだ https://t.co/kG2sBHooYj	2019-07-04 23:56:35
Lepidoptera2015	あおすじあげはちょう	290	347	https://t.co/Kf1BB6p5IY deepの学習をfrank wolfeベースのアルゴリズムにすることで、stepsizeがclosed formで求まり、パラメータ一つ決めればlrの微調整頑張らなくてよく、SGDと同程度の性能が出るよという主張、ICLR19	2019-07-04 22:23:13
re_hako_moon	はこつき＠VR	43	49	https://t.co/iaNhd5K2Uy 弱教師あり学習による三次元点群のセグメンテーション手法．一貫したセグメンテーション結果となるよう，Consistency Scoreを導入してオンラインで整合するように最適化する．	2019-07-04 20:27:42
mimura8322	Yukihiro MIMURA	42	121	“Hypercharge Quantisation and Fermat's Last Theorem” (https://t.co/XyQxxHlhpu)  / ハイパーチャージがU(1)の既約表現なら、表現の準同型写像が正しく定義されるためには電荷（の比）は有理数である。よって、著者はチャージの量子化の条件をもっと磨くべきである。（ほら日本語ならまだ字数余る）	2019-07-04 19:54:31
enakalle	梅谷 武	419	51	Neural Decipherment via Minimum-Cost Flow: from Ugaritic to Linear B https://t.co/hfoCTLNZLx  ＜言語学はこういうことがやりやすい分野なので、若い方はこの方向を目指すという選択肢も検討すべきかもしれない。	2019-07-04 18:31:45
subarusatosi	中嶋慧	3333	23	“Hypercharge Quantisation and Fermat's Last Theorem” https://t.co/c8qMC1bbD3  ハイパーチャージのパラメーターは5つがあるが、(1)より3つに落ちる。(2)は3パラメーターの3次式となる。 ハイパーチャージの量子化を仮定すると、フェルマーの最終定理(n = 3)より、ハイパーチャージが決まる。 https://t.co/uu5gwGvglK	2019-07-04 18:01:34
jaguring1	小猫遊りょう（たかにゃし・りょう）	2601	191	Hypercharge Quantisation and Fermat's Last Theorem https://t.co/JQG4yiJYMM フェルマーの最終定理が道具として使われた事例。一見すると、あんな役に立たなさそうな定理でさえ、他分野で使われていく。これが数学の面白さの一側面だと思っている。	2019-07-04 17:43:15
KUNImt_Sun	陸〇	276	357	めっちゃ現場感あるやつみつけた 例えばSEMとかで十分条件ベースではパスモデルを作らない場合に識別条件引っかかるときの最後段階的フィルタリングみたいな形ですぐ使えるやつだなこれは https://t.co/jEBoDMj3MI	2019-07-04 17:40:53
benkyouaho	Io NGS	153	178	quark hadron dualityについて https://t.co/fdzO5VC9GC  あとで読む	2019-07-04 14:01:31
TsuguoMogami	mogami290	12	10	DL without Weight Transport: https://t.co/V13lBlig9f やっぱり眠っている間にランダム発火を使って行列から転置行列にweightを転写できるとう話だ。私の１３年前に書いたこれ https://t.co/gc3FgmrwOt と同じアイデア。やられた。	2019-07-04 13:13:10
